id,text,gloss
270,financial instrument for the environment life + vote,DESC-FINANCIAL INSTRUMENT FOR ENVIRONMENT LIFE + VOTE
271,report isler béguin,REPORT ISLER Bà?GUIN
272,combating violence daphne iii programme vote,COMBATE VIOLENCE DAPHNE IIUS PROGRAM VOTE
273,recommendation gröner,RECOMMENDATION GRà?NER
274,environmental quality standards in the field of water policy vote,DESC-ENVIRONMENTAL QUALITY STANDARD IN FIELD WATER POLICY VOTE
275,report laperrouze,REPORT LAPERROUZE
276,fisheries partnership agreement between the ec and denmark and greenland vote,FISHERY PARTNERSHIP AGREEMENT BETWEEN EC AND DENMARK AND GREENLAND VOTE
277,report post,REPORT POST
278,delegation to eurolat vote,DELEGATION TO EUROLAT VOTE
279,decision,DECISION
280,halting the loss of biodiversity by 2010 vote,HALT LOSS BIODIVERSITY BY 2010 VOTE
281,report adamou,REPORT ADAMOU
282,the sitting was suspended at 12.50 p.m. and resumed at 3.05 p.m.,SIT BE SUSPEND AT 12.50 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.
283,composition of the delegation to eurolat see minutes,COMPOSITION DELEGATION TO EUROLAT SEE MINUTE
284,the sitting was closed at 11.55 p.m.,SIT BE DESC-CLOSE AT 11.55 DESC-P.M.
285,the sitting was opened at 9.00 a.m.,SIT BE DESC-OPEN AT 9.00 DESC-A.M.
286,community financial aid in the field of the trans european transport and energy networks vote,COMMUNITY DESC-FINANCIAL AID IN FIELD TRAN EUROPEAN TRANSPORT AND ENERGY NETWORK VOTE
287,report mauro,REPORT MAURO
288,"ec mexico economic partnership , political coordination and cooperation agreement vote","EC MEXICO DESC-ECONOMIC PARTNERSHIP , DESC-POLITICAL COORDINATION AND COOPERATION AGREEMENT VOTE"
289,report markov,REPORT MARKOV
290,composition of the delegation to eurolat vote,COMPOSITION DELEGATION TO EUROLAT VOTE
291,structural policies and eu cohesion vote,DESC-STRUCTURAL POLICY AND EU COHESION VOTE
292,report pleguezuelos aguilar,REPORT PLEGUEZUELO AGUILAR
293,the eu's aid for trade vote,EU X-POSS AID FOR TRADE VOTE
294,report david martin,REPORT DAVID MARTIN
295,decent work vote,DESC-DECENT WORK VOTE
296,report panayotopoulos cassiotou,REPORT PANAYOTOPOULO CASSIOTOU
297,the next item is the vote .,NEXT ITEM BE VOTE .
298,the sitting was suspended at 13.10 and resumed at 15.00,SIT BE SUSPEND AT 13.10 AND RESUME AT 15.00
299,common organisation of agricultural markets vote,DESC-COMMON ORGANIZATION DESC-AGRICULTURAL MARKET VOTE
300,busk report,BUSK REPORT
301,situation in nigeria vote,SITUATION IN NIGERIUM VOTE
302,international trade in endangered species of wild fauna and flora cites vote,DESC-INTERNATIONAL TRADE IN ENDANGER SPECIES DESC-WILD FAUNA AND FLORA CITE VOTE
303,innovation strategy vote,INNOVATION STRATEGY VOTE
304,gierek report,GIEREK REPORT
305,tackling organised crime vote,TACKLE ORGANISE CRIME VOTE
306,newton dunn report,NEWTON DUNN REPORT
307,estonia vote,ESTONIUM VOTE
308,the sitting was suspended at 12.45 p.m. and resumed at 3.00 p.m.,SIT BE SUSPEND AT 12.45 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.
309,the sitting opened at 9.40 a.m.,SIT DESC-OPEN AT 9.40 DESC-A.M.
310,protocol to the ec russia partnership and cooperation agreement following the accession of the bulgaria and romania vote,PROTOCOL TO EC RUSSIUM PARTNERSHIP AND COOPERATION AGREEMENT FOLLOW ACCESSION BULGARIUM AND ROMANIUM VOTE
311,report saryusz wolski,REPORT SARYUSZ WOLSKUS
312,conservation and enforcement measures applicable in the regulatory area of the northwest atlantic fisheries organisation vote,CONSERVATION AND ENFORCEMENT MEASURE DESC-APPLICABLE IN DESC-REGULATORY AREA DESC-NORTHWEST ATLANTIC FISHERY ORGANIZATION VOTE
313,report capoulas santos,REPORT CAPOULUM SANTO
314,mobilisation of the solidarity fund floods in hungary and greece vote,MOBILISATION SOLIDARITY FUND FLOOD IN DESC-HUNGARY AND GREECE VOTE
315,report böge,REPORT Bà?GE
316,draft amending budget no 2 / 2007 vote,DRAFT AMEND BUDGET NO 2 2007 VOTE
317,report elles,REPORT ELLE
318,draft amending budget no 3 / 2007 vote,DRAFT AMEND BUDGET NO 3 2007 VOTE
319,addition of vitamins and minerals and of certain other substances to foods vote,ADDITION VITAMIN AND MINERAL AND DESC-CERTAIN DESC-OR SUBSTANCE TO FOOD VOTE
320,report scheele,REPORT SCHEELE
321,nutrition and health claims made on foods vote,NUTRITION AND HEALTH CLAIM MAKE ON FOOD VOTE
322,report poli bortone,REPORT POLUS BORTONE
323,visa information system vis vote,VISA INFORMATION SYSTEM VIS VOTE
324,report ludford,REPORT LUDFORD
325,prüm treaty cross border cooperation in combating terrorism and cross border crime vote,PRà14 M TREATY CROSS BORDER COOPERATION IN COMBATE TERRORISM AND CROSS BORDER CRIME VOTE
326,report correia,REPORT CORREIUM
327,protection of personal data vote,PROTECTION DESC-PERSONAL DATUM VOTE
328,report roure,REPORT ROURE
329,baltic sea cod vote,BALTIC SEA COD VOTE
330,report chmielewski,REPORT CHMIELEWSKUS
331,regional strategy papers and regional indicative programmes for mercosur and latin america vote,DESC-REGIONAL STRATEGY PAPERS AND DESC-REGIONAL DESC-INDICATIVE PROGRAM FOR MERCOSUR AND LATIN AMERICA VOTE
332,united nations human rights council vote,UNITE NATION DESC-HUMAN RIGHTS COUNCIL VOTE
333,draft estimates of the european parliament for 2008 vote,DRAFT ESTIMATE EUROPEAN PARLIAMENT FOR 2008 VOTE
334,report itälä,REPORT ITÍ
335,membership of committees see minutes,MEMBERSHIP COMMITTEE SEE MINUTE
336,the sitting was closed at 11 p.m.,SIT BE DESC-CLOSE AT 11 DESC-P.M.
337,deadline for tabling amendments see minutes,DEADLINE FOR TABLE AMENDMENT SEE MINUTE
338,protection of employees in the event of the insolvency of their employer codified version vote,PROTECTION EMPLOYEE IN EVENT INSOLVENCY X-Y EMPLOYER CODIFY VERSION VOTE
339,wallis report,WALLUS REPORT
340,integrated pollution prevention and control codified version vote,INTEGRATE POLLUTION PREVENTION AND CONTROL CODIFY VERSION VOTE
341,"controls , tell tales and indicators for two or three wheel motor vehicles codified version vote","CONTROL , TELL TALE AND INDICATOR FOR TWO OR THREE WHEEL MOTOR VEHICLE CODIFY VERSION VOTE"
342,injunctions for the protection of consumersinterests codified version vote,INJUNCTION FOR PROTECTION CONSUMERSINTEREST CODIFY VERSION VOTE
343,steering equipment of wheeled agricultural or forestry tractors codified version vote,STEERING EQUIPMENT WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE
344,maximum speed of and load platforms for wheeled agricultural or forestry tractors codified version vote,MAXIMUM SPEED AND LOAD PLATFORM FOR WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE
345,parts and characteristics of wheeled agricultural or forestry tractors codified version vote,PART AND DESC-CHARACTERISTIC WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE
346,field of vision and windscreen wipers for wheeled agricultural or forestry tractors codified version vote,FIELD VISION AND WINDSCREEN WIPER FOR WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR CODIFY VERSION VOTE
347,approximation of member stateslaws relating to trade marks codified version vote,APPROXIMATION MEMBER STATESLAW RELATE TO TRADE MARK CODIFY VERSION VOTE
348,mayer report,MAYER REPORT
349,protection of workers against asbestos codified version vote,PROTECTION WORKER AGAINST ASBESTOS CODIFY VERSION VOTE
350,community guarantee to the eib codified version vote,COMMUNITY GUARANTEE TO EIB CODIFY VERSION VOTE
351,protection of pigs codified version vote,PROTECTION PIG CODIFY VERSION VOTE
352,pure bred bovine breeding animals codified version vote,DESC-PURE BREED DESC-BOVINE BREED ANIMAL CODIFY VERSION VOTE
353,community trade mark codified version vote,COMMUNITY TRADE MARK CODIFY VERSION VOTE
354,production and marketing of eggs codified version vote,PRODUCTION AND MARKETING EGG CODIFY VERSION VOTE
355,scrutiny of european agricultural guarantee fund financing codified version vote,SCRUTINY EUROPEAN DESC-AGRICULTURAL GUARANTEE FUND FINANCING CODIFY VERSION VOTE
356,fisheries partnership agreement between the ec and são tomé and príncipe vote,FISHERY PARTNERSHIP AGREEMENT BETWEEN EC AND Sà# O TOMà?AND PRDCIPE VOTE
357,capoulas santos report,CAPOULA SANTO REPORT
358,fisheries partnership agreement between the ec and kiribati vote,FISHERY PARTNERSHIP AGREEMENT BETWEEN EC AND KIRIBATUS VOTE
359,morillon report,MORILLON REPORT
360,request for defence of the immunity of mario borghezio vote,REQUEST FOR DEFENSE IMMUNITY MARIO BORGHEZIO VOTE
361,gargani report,GARGANUS REPORT
362,"definition , description , presentation and labelling of spirit drinks vote","DEFINITION , DESCRIPTION , PRESENTATION AND LABEL SPIRIT DRINK VOTE"
363,schnellhardt report,SCHNELLHARDT REPORT
364,cat and dog fur vote,CAT AND DOG FUR VOTE
365,svensson report,SVENSSON REPORT
366,broadband vote,BROADBAND VOTE
367,hökmark report,Hà?KMARK REPORT
368,the minutes of yesterday's sitting were approved,MINUTE YESTERDAY X-POSS SIT BE APPROVE
369,the banning of exports and the safe storage of metallic mercury vote,BAN EXPORT AND DESC-SAFE STORAGE DESC-METALLIC MERCURY VOTE
370,papadimoulis report,PAPADIMOULUS REPORT
371,portability of supplementary pension rights vote,PORTABILITY DESC-SUPPLEMENTARY PENSION RIGHTS VOTE
372,oomen ruijten report,OOMAN RUIJTEN REPORT
373,adoption by cyprus of the single currency on 1 january 2008 vote,ADOPTION BY CYPRUS DESC-SINGLE CURRENCY ON 1 JANUARY 2008 VOTE
374,langen report,LANGEN REPORT
375,adoption by malta of the single currency on 1 january 2008 vote,ADOPTION BY MALTA DESC-SINGLE CURRENCY ON 1 JANUARY 2008 VOTE
376,motion for a resolution galileo,MOTION FOR RESOLUTION GALILEO
377,the transposition and implementation of public procurement legislation vote,TRANSPOSITION AND IMPLEMENTATION PUBLIC PROCUREMENT LEGISLATION VOTE
378,mccarthy report,MCCARTHY REPORT
379,improving the method for consulting parliament in procedures relating to enlargement of the euro zone vote,IMPROVE METHOD FOR CONSULT PARLIAMENT IN PROCEDURE RELATE TO ENLARGEMENT EURO ZONE VOTE
380,motion for a resolution euro zone,MOTION FOR RESOLUTION EURO ZONE
381,the sitting was suspended at 1 p.m. and resumed at 3 p.m.,SIT BE SUSPEND AT 1 DESC-P.M. AND RESUME AT 3 DESC-P.M.
382,exchanges of information extracted from criminal records vote,EXCHANGE INFORMATION EXTRACT FROM DESC-CRIMINAL RECORD VOTE
383,report díaz de mera garcía consuegra,REPORT DaZ DE MERA GARCa CONSUEGRA
384,regional strategy and multiannual indicative programme for asia vote,DESC-REGIONAL STRATEGY AND DESC-MULTIANNUAL DESC-INDICATIVE PROGRAM FOR ASIA VOTE
385,towards an arms trade treaty vote,TOWARDS ARM TRADE TREATY VOTE
386,framework decision on combating racism and xenophobia vote,FRAMEWORK DECISION ON COMBATE RACISM AND XENOPHOBIA VOTE
387,decision making in the common european asylum system vote,DECISION MAKE IN DESC-COMMON EUROPEAN ASYLUM SYSTEM VOTE
388,report pirker,REPORT PIRKER
389,human rights in ethiopia vote,DESC-HUMAN RIGHTS IN ETHIOPIUM VOTE
390,joint motion for a resolution,DESC-JOINT MOTION FOR RESOLUTION
391,burma vote,BURMA VOTE
392,"for the results and other details on the vote , see minutes .","FOR RESULT AND DESC-OR DETAIL ON VOTE , SEE MINUTE ."
393,the sitting was closed at 16.10,SIT BE DESC-CLOSE AT 16.10
394,calendar of part sessions for 2008,CALENDAR PART SESSION FOR 2008
395,election of a vice president of parliament vote,ELECTION VICE PRESIDENT PARLIAMENT VOTE
396,ec algeria euro mediterranean agreement vote,EC ALGERIUM EURO MEDITERRANEAN AGREEMENT VOTE
397,recommendation jacek saryusz wolski,RECOMMENDATION JACEK SARYUSZ WOLSKUS
398,ec moldova partnership and cooperation agreement vote,EC MOLDOVA PARTNERSHIP AND COOPERATION AGREEMENT VOTE
399,report jacek saryusz wolski,REPORT JACEK SARYUSZ WOLSKUS
400,ec ukraine partnership and cooperation agreement vote,EC UKRAINE PARTNERSHIP AND COOPERATION AGREEMENT VOTE
401,ec armenia partnership and cooperation agreement vote,EC ARMENIA PARTNERSHIP AND COOPERATION AGREEMENT VOTE
402,ec azerbaijan partnership and cooperation agreement vote,EC AZERBAIJAN PARTNERSHIP AND COOPERATION AGREEMENT VOTE
403,ec georgia partnership and cooperation agreement vote,EC GEORGIUM PARTNERSHIP AND COOPERATION AGREEMENT VOTE
404,accession of bulgaria and romania to the convention on the use of information technology for customs purposes vote,ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON USE INFORMATION TECHNOLOGY FOR CUSTOM PURPOSE VOTE
405,report jean marie cavada,REPORT JEAN MARIE CAVADA
406,undertakings for collective investment in transferable securities implementing powers conferred on the commission vote,UNDERTAKING FOR DESC-COLLECTIVE INVESTMENT IN DESC-TRANSFERABLE SECURITY IMPLEMENT POWER CONFER ON COMMISSION VOTE
407,report pervenche berès,REPORT PERVENCHE BERà?X-S
408,a new statistical classification of products by activity cpa vote,DESC-NEW DESC-STATISTICAL CLASSIFICATION PRODUCT BY ACTIVITY CPA VOTE
409,report guntars krasts,REPORT GUNTAR KRAST
410,report corien wortmann kool,REPORT CORIEN WORTMANN KOOL
411,fishing activities in the antarctic vote,FISHING ACTIVITY IN ANTARCTIC VOTE
412,report rosa miguélez ramos,REPORT ROSA MIGUà?LEZ RAMO
413,accession of bulgaria and romania to the europol convention vote,ACCESSION BULGARIUM AND ROMANIUM TO EUROPOL CONVENTION VOTE
414,report genowefa grabowska,REPORT GENOWEFA GRABOWSKA
415,accession of bulgaria and romania to the convention on mutual assistance in criminal matters vote,ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON DESC-MUTUAL ASSISTANCE IN DESC-CRIMINAL MATTER VOTE
416,accession of bulgaria and romania to the convention on driving disqualifications vote,ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON DRIVE DISQUALIFICATION VOTE
417,report jörg leichtfried,REPORT Jà?RG LEICHTFRY
418,corrigenda new rule 204a of parliament's rules of procedure vote,CORRIGENDUM DESC-NEW RULE DESC-204A PARLIAMENT X-POSS RULE PROCEDURE VOTE
419,report richard corbett,REPORT RICHARD CORBETT
420,application and interpretation of the rules of procedure amendment of rule 201 vote,APPLICATION AND INTERPRETATION RULE PROCEDURE AMENDMENT RULE 201 VOTE
421,immunity and privileges of alessandra mussolini vote,IMMUNITY AND PRIVILEGE ALESSANDRA MUSSOLINUS VOTE
422,report klaus heiner lehne,REPORT KLAUS HEINER LEHNE
423,request for defence of the immunity of ashley mote vote,REQUEST FOR DEFENSE IMMUNITY ASHLEY MOTE VOTE
424,report francesco enrico speroni,REPORT FRANCESCO ENRICO SPERONUS
425,draft amending budget no 4 / 2007 vote,DRAFT AMEND BUDGET NO 4 2007 VOTE
426,report james elles,REPORT JAME ELLE
427,translation expenditure vote,TRANSLATION EXPENDITURE VOTE
428,report alexander stubb,REPORT ALEXANDER STUBB
429,minimising administrative costs imposed by legislation vote,MINIMIZE DESC-ADMINISTRATIVE COST IMPOSE BY LEGISLATION VOTE
430,report jan mulder,REPORT JAN MULDER
431,report diana wallis,REPORT DIANA WALLUS
432,community action programme in the field of health 2007 2013 vote,COMMUNITY ACTION PROGRAM IN FIELD HEALTH 2007 2013 VOTE
433,recommendation for second reading antonios trakatellis,RECOMMENDATION FOR DESC-SECOND READING ANTONIO TRAKATELLUS
434,measuring devices containing mercury vote,MEASURE DEVICE CONTAIN MERCURY VOTE
435,recommendation for second reading sornosa martínez,RECOMMENDATION FOR DESC-SECOND READING SORNOSA MARTDEZ
436,food additives vote,FOOD ADDITIVE VOTE
437,report åsa westlund,REPORT àŠSA WESTLUND
438,food enzymes vote,FOOD ENZYME VOTE
439,report avril doyle,REPORT AVRIL DOYLE
440,flavourings and food ingredients with flavouring properties for use in and on foods vote,FLAVORING AND FOOD INGREDIENT WITH FLAVORING PROPERTY FOR USE IN AND ON FOOD VOTE
441,report mojca drčar murko,REPORT MOJCA DRcAR MURKO
442,3european critical infrastructure vote,DESC-3EUROPEAN DESC-CRITICAL INFRASTRUCTURE VOTE
443,report jeanine hennis plasschaert,REPORT JEANINE HENNUS PLASSCHAERT
444,convening of the intergovernmental conference opinion of the european parliament deadline for tabling amendments see minutes,CONVENE DESC-INTERGOVERNMENTAL CONFERENCE OPINION EUROPEAN PARLIAMENT DEADLINE FOR TABLE AMENDMENT SEE MINUTE
445,the sitting was suspended at 1.15 p.m. and resumed at 3.05 p.m.,SIT BE SUSPEND AT 1.15 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.
446,pnr agreement with the united states motions for resolutions tabled see minutes,PNR AGREEMENT WITH UNITE STATE MOTION FOR RESOLUTION TABLE SEE MINUTE
447,calendar of part sessions for 2008 vote,CALENDAR PART SESSION FOR 2008 VOTE
448,mergers and division of public limited companies vote,MERGER AND DIVISION PUBLIC DESC-LIMITED COMPANY VOTE
449,report kauppi,REPORT KAUPPUS
450,community action in the field of water policy vote,COMMUNITY ACTION IN FIELD WATER POLICY VOTE
451,report lienemann,REPORT LIENEMANN
452,end of life vehicles vote,END LIFE VEHICLE VOTE
453,report florenz,REPORT FLORENZ
454,waste electrical and electronic equipment vote,WASTE DESC-ELECTRICAL AND DESC-ELECTRONIC EQUIPMENT VOTE
455,hazardous substances in electrical and electronic equipment vote,DESC-HAZARDOUS SUBSTANCE IN DESC-ELECTRICAL AND DESC-ELECTRONIC EQUIPMENT VOTE
456,ecodesign requirements for energy using products vote,ECODESIGN REQUIREMENT FOR ENERGY USE PRODUCT VOTE
457,report ries,REPORT RIE
458,the sitting was suspended at 2.25 p.m. and resumed at 3.05 p.m.,SIT BE SUSPEND AT 2.25 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.
459,the sitting closed at 23.35,SIT DESC-CLOSE AT 23.35
460,the sitting was opened at 9.30 a.m.,SIT BE DESC-OPEN AT 9.30 DESC-A.M.
461,budget calendar see minutes,BUDGET CALENDAR SEE MINUTE
462,community statistical programme 2008 2012 vote,COMMUNITY DESC-STATISTICAL PROGRAM 2008 2012 VOTE
463,becsey report,BECSEY REPORT
464,first railway package vote,DESC-FIRST RAILWAY PACKAGE VOTE
465,cramer report,CRAMER REPORT
466,action to tackle cardiovascular disease vote,ACTION TO TACKLE DESC-CARDIOVASCULAR DISEASE VOTE
467,eurozone 2007 vote,EUROZONE 2007 VOTE
468,rosati report,ROSATUS REPORT
469,european central bank 2006 vote,EUROPEAN DESC-CENTRAL BANK 2006 VOTE
470,mitchell report,MITCHELL REPORT
471,palestine vote,PALESTINE VOTE
472,trips agreement and access to medicines vote,TRIP AGREEMENT AND ACCESS TO MEDICINE VOTE
